timestamp,co,pm25,pm10,no2,so2,o3,aqi,temperature,humidity,pressure,wind_speed,rainfall
2025-12-07 00:00:00+00:00,909.0,82.4,82.9,12.7,27.6,72.0,150,30.483570765056164,64.6170265333809,1016.314406343337,1.332813064594452,0.0
2025-12-07 01:00:00+00:00,1143.0,86.1,86.6,17.8,29.6,65.0,150,27.308678494144075,34.347474110150614,1018.8673692874266,3.3697571676480074,0.0
2025-12-07 02:00:00+00:00,1442.0,92.9,93.4,24.7,32.5,57.0,200,31.23844269050346,39.77721866841431,1013.9051077935185,3.7473326227451778,0.0
2025-12-07 03:00:00+00:00,1616.0,96.2,96.6,28.4,34.9,59.0,200,35.61514928204013,71.14896141034072,1006.5158402602208,4.7102235577819,0.0
2025-12-07 04:00:00+00:00,1555.0,97.8,98.3,25.9,36.7,82.0,200,26.829233126383322,62.562981571919124,1014.9984397587632,5.37081102985256,0.0
2025-12-07 05:00:00+00:00,1369.0,94.1,94.8,20.1,38.0,115.0,200,26.8293152152541,57.24024995470981,1009.7432155310408,1.477358712258197,0.0
2025-12-07 06:00:00+00:00,1193.0,84.1,85.0,15.4,38.6,142.0,150,35.896064077536955,60.2765089959809,1010.3569165912512,1.7837137331844928,0.0
2025-12-07 07:00:00+00:00,1049.0,70.3,71.5,12.2,37.9,157.0,150,31.837173645764544,65.21372558042506,1015.9318200937755,1.1136332116280756,3.382160397661626
2025-12-07 08:00:00+00:00,915.0,63.1,64.5,10.1,36.3,165.0,150,25.65262807032524,51.90360479535958,1019.1914153571681,2.648970211339528,0.0
2025-12-07 09:00:00+00:00,857.0,58.2,59.8,11.5,35.0,163.0,100,30.712800217929825,48.32542911896531,1013.1063578836803,3.699537561669502,0.0
2025-12-07 10:00:00+00:00,937.0,56.3,58.0,19.8,34.3,147.0,100,25.682911535937688,62.93767882646522,1014.5441650629948,4.481001774883653,0.0
2025-12-07 11:00:00+00:00,1094.0,58.0,59.4,31.7,33.9,121.0,100,25.671351232148716,45.32440833577452,1021.5110747231762,2.886073464536216,0.0
2025-12-07 12:00:00+00:00,1211.0,57.4,58.1,38.7,34.4,97.0,100,29.20981135783017,66.12379133571707,1014.2037658974428,2.5202287151177343,0.0
2025-12-07 13:00:00+00:00,1242.0,58.9,59.4,37.5,34.3,92.0,100,18.43359877671101,34.46124593643239,1026.008415570902,3.2276369883731104,0.0
2025-12-07 14:00:00+00:00,1234.0,59.3,59.8,35.8,34.2,85.0,100,19.375410837434835,75.43733455988465,1015.8275482281578,1.7472856475549654,0.0
2025-12-07 15:00:00+00:00,1210.0,60.5,61.0,33.5,33.8,80.0,150,25.188562353795135,67.08896223619564,1004.1961862042209,6.1343080825421605,0.0
2025-12-07 16:00:00+00:00,1178.0,62.6,63.3,30.6,33.1,79.0,150,22.93584439832788,63.840446014708135,1016.7667081055226,0.5885084593229122,0.0
2025-12-07 17:00:00+00:00,1130.0,65.2,65.9,27.2,32.2,80.0,150,29.571236662976368,74.74036475918271,1014.9057919244138,3.277110868343587,6.549100678540104
